corr,method,summed_mse_mean,summed_mse_std,summed_mse_count,max_coord_mse_mean,max_coord_mse_std,max_coord_mse_count,std_summed_mse_mean,std_summed_mse_std,std_summed_mse_count,avg_r2_mean,avg_r2_std,avg_r2_count,total_time_mean,total_time_std,total_time_count,afpc_time_mean,afpc_time_std,afpc_time_count,fit_time_mean,fit_time_std,fit_time_count,K_mean,K_std,K_count,summed_mse_se,max_coord_mse_se,std_summed_mse_se,avg_r2_se,total_time_se,afpc_time_se,fit_time_se,K_se
0.0,Independent DCF-LS,3.7900846230567113,0.14860834372028084,5,0.5278700227837237,0.03994703955496928,5,5.754763922416582,0.24657335444353393,5,0.7104890752362886,0.01288308778431355,5,3.2915223800000604,0.24312564715935067,5,1.4121734000000288,0.100838140966971,5,0.14816792000008264,0.040103350090617294,5,58,0.0,5,0.06645967171644039,0.01786485918895685,0.11027095639517834,0.005761492009164449,0.10872909482438735,0.0450961875853707,0.017934763385618523,0.0
0.0,MO-RF,2.1878825686371313,0.278135053600986,5,0.19012518588434263,0.009135464254931102,5,3.3502167343450777,0.42084504786533744,5,0.8319368337208519,0.02091069668058332,5,2.837834420000013,0.23607727894153943,5,0.0,0.0,5,2.837834420000013,0.23607727894153943,5,0,0.0,5,0.12438577735547048,0.004085503816009082,0.18820762700420945,0.009351547846932701,0.10557696873129235,0.0,0.10557696873129235,0.0
0.0,MO-Ridge,11.69050742070515,0.11538440772951196,5,0.7042244652358904,0.019072153534354833,5,17.744566264356436,0.1597095944743768,5,0.11133293395475999,0.0016009339033397957,5,0.014615079999975933,0.0024788090249416414,5,0.0,0.0,5,0.014615079999975933,0.0024788090249416414,5,0,0.0,5,0.05160147584534818,0.008529326356026054,0.07142430198072626,0.0007159594070703722,0.0011085570966018962,0.0,0.0011085570966018962,0.0
0.0,PLS,11.65688188940537,0.09928828419540238,5,0.7034908678972623,0.018323001456858435,5,17.692720404871913,0.1632201446613406,5,0.113931000587096,0.0022559750279304604,5,0.07758731999997508,0.03351918700596995,5,0.0,0.0,5,0.07758731999997508,0.03351918700596995,5,0,0.0,5,0.044403070566047545,0.008194295361872628,0.07299426775202139,0.001008902703598899,0.014990236139175292,0.0,0.014990236139175292,0.0
0.0,SC-DCF-LS,3.7900846230567034,0.14860834372027892,5,0.5278700227837273,0.039947039554976846,5,5.754763922416572,0.24657335444353293,5,0.710489075236289,0.012883087784313126,5,0.140367999999944,0.03367155370621128,5,0.055921239999975114,0.011303557030776892,5,0.005261819999986983,0.0006739362558926699,5,58,0.0,5,0.06645967171643953,0.017864859188960233,0.11027095639517788,0.00576149200916426,0.015058376599024679,0.005055104381672562,0.0003013934561355406,0.0
0.0,kNN,3.433421076784705,0.15881382465351038,5,0.45654119488341394,0.026149463308274293,5,5.224261592247778,0.2335002620781839,5,0.7375044760300484,0.011691843571753721,5,0.1927654599999869,0.022296716691096726,5,0.0,0.0,5,0.1927654599999869,0.022296716691096726,5,0,0.0,5,0.07102370153839624,0.01169439550648757,0.1044244917541671,0.005228751401747052,0.009971394839269291,0.0,0.009971394839269291,0.0
0.5,Independent DCF-LS,3.9811674173159646,0.503685336320362,5,0.5698918365951882,0.09383454288016563,5,6.060001084602648,0.786531607821654,5,0.6979140639415544,0.03943620425407894,5,3.2524101599999993,0.13622825971321764,5,1.4443590200000926,0.046064604690114364,5,0.12462522000000717,0.011083050946458822,5,58,0.0,5,0.22525493025643467,0.04196408330353385,0.3517476283082847,0.01763640669733738,0.060923129835050126,0.02060071748875027,0.004956491062875061,0.0
0.5,MO-RF,2.264578173857203,0.16109522376231708,5,0.20516191192189873,0.008958019304133414,5,3.469356480161801,0.24918477078514606,5,0.8266580834444974,0.012977385433180515,5,3.0073100000000066,0.40530369704515185,5,0.0,0.0,5,3.0073100000000066,0.40530369704515185,5,0,0.0,5,0.07204397423661608,0.004006148021559535,0.11143881728665804,0.005803663199761437,0.18125732362498803,0.0,0.18125732362498803,0.0
0.5,MO-Ridge,11.718004343114394,0.08876200193750909,5,0.7007347216952338,0.0062296310936126855,5,17.789947894060788,0.1335056150623754,5,0.11128445562410041,0.002151125241223389,5,0.017072479999978896,0.001734722305437538,5,0.0,0.0,5,0.017072479999978896,0.001734722305437538,5,0,0.0,5,0.03969557403024767,0.002785975720012864,0.05970552613147824,0.0009620124534982262,0.0007757913994086976,0.0,0.0007757913994086976,0.0
0.5,PLS,11.68175693482515,0.08808882743526346,5,0.6983300626268912,0.00492766884706649,5,17.733939639241562,0.1327836857394101,5,0.11405061228078353,0.001939722220427707,5,0.062230100000033414,0.011187985167806046,5,0.0,0.0,5,0.062230100000033414,0.011187985167806046,5,0,0.0,5,0.03939452124069951,0.0022037205025297376,0.05938266952325808,0.0008674701484686368,0.005003419073294742,0.0,0.005003419073294742,0.0
0.5,SC-DCF-LS,3.981167417315949,0.5036853363203575,5,0.5698918365951784,0.09383454288015607,5,6.060001084602622,0.7865316078216535,5,0.6979140639415555,0.0394362042540792,5,0.13247210000001813,0.003148680174370828,5,0.058782680000012986,0.001514273466698965,5,0.004578580000020338,0.0002780828239777169,5,58,0.0,5,0.22525493025643262,0.04196408330352957,0.3517476283082845,0.017636406697337494,0.0014081325818598126,0.00067720368161263,0.0001243624195578567,0.0
0.5,kNN,3.693122342057028,0.20075716845086414,5,0.5070163240670837,0.0316696614886648,5,5.629379503879754,0.33147727037711044,5,0.7194091521318546,0.016181795650570017,5,0.18102300000000468,0.04128074799703115,5,0.0,0.0,5,0.18102300000000468,0.04128074799703115,5,0,0.0,5,0.08978133512530166,0.014163103182612335,0.14824114191185925,0.007236719014536998,0.01846131173667999,0.0,0.01846131173667999,0.0
0.9,Independent DCF-LS,4.808980249302581,2.5612232441292435,5,0.7615146321299305,0.5029458127876663,5,7.307116974480701,3.9057827176481807,5,0.6321224708132355,0.1958639808644104,5,3.4605816400000777,0.06932108979052125,5,1.4944445199999563,0.029726316570506832,5,0.13507947999994485,0.007277069669005414,5,58,0.0,5,1.1454138558851055,0.22492420527842094,1.7467191324010398,0.08759303511130793,0.031001333809194433,0.013294012914466339,0.0032544044913796,0.0
0.9,MO-RF,2.3890900109562763,0.15690395238394125,5,0.20437282777179622,0.011695451653043634,5,3.643074642051599,0.22706675263699985,5,0.8168261657643857,0.011505759692433054,5,3.2213352400000077,0.1311992688342467,5,0.0,0.0,5,3.2213352400000077,0.1311992688342467,5,0,0.0,5,0.07016958069377656,0.00523036498475357,0.10154733886529226,0.005145532161011476,0.05867409674232904,0.0,0.05867409674232904,0.0
0.9,MO-Ridge,11.675603200245652,0.07815734946186766,5,0.7040595398039107,0.013344266493084386,5,17.639365217341386,0.26163268666028394,5,0.11389477252035504,0.002457997233135453,5,0.013957520000008116,0.004598385080357873,5,0.0,0.0,5,0.013957520000008116,0.004598385080357873,5,0,0.0,5,0.03495302926758854,0.005967737397681883,0.11700569450165946,0.0010992497803594544,0.0020564603252802073,0.0,0.0020564603252802073,0.0
0.9,PLS,11.659542815873566,0.07171689722946653,5,0.7030069892890601,0.014718126267994198,5,17.61441823599807,0.270148345035265,5,0.11512541212188761,0.002957549337949623,5,0.07819102000003113,0.052372717227956424,5,0.0,0.0,5,0.07819102000003113,0.052372717227956424,5,0,0.0,5,0.0320727714680907,0.006582146167332063,0.12081401270158408,0.0013226562732929711,0.02342179117761698,0.0,0.02342179117761698,0.0
0.9,SC-DCF-LS,4.8089802493025715,2.5612232441292013,5,0.7615146321299725,0.5029458127877641,5,7.307116974480721,3.905782717648208,5,0.6321224708132345,0.19586398086441173,5,0.1413682599999902,0.015102290884704179,5,0.051206139999999324,0.005403283106877712,5,0.0055549199999859415,0.00127456089576182,5,58,0.0,5,1.1454138558850866,0.22492420527846468,1.746719132401052,0.08759303511130853,0.006753949806834796,0.002416421665730965,0.0005700009608772906,0.0
0.9,kNN,3.4718018555471346,0.0640931138073375,5,0.47199238659490417,0.009966564635897703,5,5.279245070279937,0.13580216770846107,5,0.7345508360737389,0.0052847845703662,5,0.21872240000000148,0.04272475104969021,5,0.0,0.0,5,0.21872240000000148,0.04272475104969021,5,0,0.0,5,0.028663311872567397,0.004457183205602541,0.06073257569758916,0.0023634275091561686,0.019107089533772558,0.0,0.019107089533772558,0.0
